Ncode,City
0039970000,tehran
0031006000,tehran
0031012000,tehran
0031029000,tehran
0031035000,tehran
0031041000,tehran
0031058000,tehran
0031064000,tehran
0048000000,tehran
0042700000,tehran
0043400000,tehran
0044100000,tehran
0045900000,tehran
0046600000,tehran
0047300000,tehran
0048000000,tehran
0049800000,tehran
0041010000,tehran
0041120000,tehran
0041230000,tehran
0041340000,tehran
0041450000,tehran
0041560000,tehran
0041670000,tehran
0041780000,tehran
0041890000,tehran
0042040000,tehran
0042150000,tehran
0042260000,tehran
0042370000,tehran
0042480000,tehran
0042590000,tehran
0042700000,tehran
0042810000,tehran
0042920000,tehran
0043070000,tehran
0043180000,tehran
0043290000,tehran
0043400000,tehran
0043510000,tehran
0043620000,tehran
0043730000,tehran
0043840000,tehran
0043950000,tehran
0044100000,tehran
0044210000,tehran
0044320000,tehran
0044430000,tehran
0044540000,tehran
0044650000,tehran
0044760000,tehran
0044870000,tehran
0044980000,tehran
0045020000,tehran
0045130000,tehran
0045240000,tehran
0045350000,tehran
0045460000,tehran
0045570000,tehran
0045680000,tehran
0045790000,tehran
0045900000,tehran
0046050000,tehran
0046160000,tehran
0046270000,tehran
0046380000,tehran
0046490000,tehran
0046600000,tehran
0046710000,tehran
0046820000,tehran
0046930000,tehran
0047080000,tehran
0047190000,tehran
0047300000,tehran
0047410000,tehran
0047520000,tehran
0047630000,tehran
0047740000,tehran
0047850000,tehran
0047960000,tehran
0048000000,tehran
0048110000,tehran
0048220000,tehran
0048330000,tehran
0048440000,tehran
0048550000,tehran
0048660000,tehran
0048770000,tehran
0048880000,tehran
0048990000,tehran
0049030000,tehran
0049140000,tehran
0049250000,tehran
0049360000,tehran
0049470000,tehran
0049580000,tehran
0049690000,tehran
0049800000,tehran
0049910000,tehran
0041004000,tehran
0041010000,tehran
0041027000,tehran
0041033000,tehran
0041056000,tehran
0041062000,tehran
0041079000,tehran
0041085000,tehran
0051500000,tehran
0052200000,tehran
0054700000,tehran
0055400000,tehran
0056100000,tehran
0057900000,tehran
0058600000,tehran
0059300000,tehran
0051060000,tehran
0051170000,tehran
0051280000,tehran
0051390000,tehran
0051500000,tehran
0051610000,tehran
0051720000,tehran
0051830000,tehran
0051940000,tehran
0052090000,tehran
0052200000,tehran
0052310000,tehran
0052420000,tehran
0052530000,tehran
0052640000,tehran
0052750000,tehran
0052860000,tehran
0052970000,tehran
0053010000,tehran
0053120000,tehran
0053230000,tehran
0053340000,tehran
0053450000,tehran
0053560000,tehran
0053670000,tehran
0053780000,tehran
0053890000,tehran
0054040000,tehran
0054150000,tehran
0054260000,tehran
0054370000,tehran
0054480000,tehran
0054590000,tehran
0054700000,tehran
0054810000,tehran
0054920000,tehran
0055070000,tehran
0055180000,tehran
0055290000,tehran
0055400000,tehran
0055510000,tehran
0055620000,tehran
0055730000,tehran
0055840000,tehran
0055950000,tehran
0056100000,tehran
0056210000,tehran
0056320000,tehran
0056430000,tehran
0056540000,tehran
0056650000,tehran
0056760000,tehran
0056870000,tehran
0056980000,tehran
0057020000,tehran
0057130000,tehran
0057240000,tehran
0057350000,tehran
0057460000,tehran
0057570000,tehran
0057680000,tehran
0057790000,tehran
0057900000,tehran
0058050000,tehran
0058160000,tehran
0058270000,tehran
0058380000,tehran
0058490000,tehran
0058600000,tehran
0058710000,tehran
0058820000,tehran
0058930000,tehran
0059080000,tehran
0059190000,tehran
0059300000,tehran
0059410000,tehran
0059520000,tehran
0059630000,tehran
0059740000,tehran
0059850000,tehran
0059960000,tehran
0051002000,tehran
0051019000,tehran
0051025000,tehran
0051031000,tehran
0051048000,tehran
0051054000,tehran
0051060000,tehran
0051077000,tehran
0051083000,tehran
0051106000,tehran
0061000000,tehran
0061000000,tehran
0062800000,tehran
0063500000,tehran
0064200000,tehran
0066700000,tehran
0067400000,tehran
0068100000,tehran
0069900000,tehran
0061000000,tehran
0061110000,tehran
0061220000,tehran
0061330000,tehran
0061440000,tehran
0061550000,tehran
0061660000,tehran
0061770000,tehran
0061880000,tehran
0061990000,tehran
0062030000,tehran
0062140000,tehran
0062250000,tehran
0062360000,tehran
0062470000,tehran
0062580000,tehran
0062690000,tehran
0062800000,tehran
0062910000,tehran
0063060000,tehran
0063170000,tehran
0063280000,tehran
0063390000,tehran
0063500000,tehran
0063610000,tehran
0063720000,tehran
0063830000,tehran
0063940000,tehran
0064090000,tehran
0064200000,tehran
0064310000,tehran
0064420000,tehran
0064530000,tehran
0064640000,tehran
0064750000,tehran
0064860000,tehran
0064970000,tehran
0065010000,tehran
0065120000,tehran
0065230000,tehran
0065340000,tehran
0065450000,tehran
0065560000,tehran
0065670000,tehran
0065780000,tehran
0065890000,tehran
0066040000,tehran
0066150000,tehran
0066260000,tehran
0066370000,tehran
0066480000,tehran
0066590000,tehran
0066700000,tehran
0066810000,tehran
0066920000,tehran
0067070000,tehran
0067180000,tehran
0067290000,tehran
0067400000,tehran
0067510000,tehran
0067620000,tehran
0067730000,tehran
0067840000,tehran
0067950000,tehran
0068100000,tehran
0068210000,tehran
0068320000,tehran
0068430000,tehran
0068540000,tehran
0068650000,tehran
0068760000,tehran
0068870000,tehran
0068980000,tehran
0069020000,tehran
0069130000,tehran
0069240000,tehran
0069350000,tehran
0069460000,tehran
0069570000,tehran
0069680000,tehran
0069790000,tehran
0069900000,tehran
0061000000,tehran
0061017000,tehran
0061023000,tehran
0061046000,tehran
0061052000,tehran
0061069000,tehran
0061075000,tehran
0061081000,tehran
0073000000,tehran
0071600000,tehran
0072300000,tehran
0073000000,tehran
0074800000,tehran
0075500000,tehran
0076200000,tehran
0078700000,tehran
0079400000,tehran
0071050000,tehran
0071160000,tehran
0071270000,tehran
0071380000,tehran
0071490000,tehran
0071600000,tehran
0071710000,tehran
0071820000,tehran
0071930000,tehran
0072080000,tehran
0072190000,tehran
0072300000,tehran
0072410000,tehran
0072520000,tehran
0072630000,tehran
0072740000,tehran
0072850000,tehran
0072960000,tehran
0073000000,tehran
0073110000,tehran
0073220000,tehran
0073330000,tehran
0073440000,tehran
0073550000,tehran
0073660000,tehran
0073770000,tehran
0073880000,tehran
0073990000,tehran
0074030000,tehran
0074140000,tehran
0074250000,tehran
0074360000,tehran
0074470000,tehran
0074580000,tehran
0074690000,tehran
0074800000,tehran
0074910000,tehran
0075060000,tehran
0075170000,tehran
0075280000,tehran
0075390000,tehran
0075500000,tehran
0075610000,tehran
0075720000,tehran
0075830000,tehran
0075940000,tehran
0076090000,tehran
0076200000,tehran
0076310000,tehran
0076420000,tehran
0076530000,tehran
0076640000,tehran
0076750000,tehran
0076860000,tehran
0076970000,tehran
0077010000,tehran
0077120000,tehran
0077230000,tehran
0077340000,tehran
0077450000,tehran
0077560000,tehran
0077670000,tehran
0077780000,tehran
0077890000,tehran
0078040000,tehran
0078150000,tehran
0078260000,tehran
0078370000,tehran
0078480000,tehran
0078590000,tehran
0078700000,tehran
0078810000,tehran
0078920000,tehran
0079070000,tehran
0079180000,tehran
0079290000,tehran
0079400000,tehran
0079510000,tehran
0079620000,tehran
0079730000,tehran
0079840000,tehran
0079950000,tehran
0071009000,tehran
0071015000,tehran
0071021000,tehran
0071038000,tehran
0071044000,tehran
0071050000,tehran
0071067000,tehran
0071073000,tehran
0085000000,tehran
0081100000,tehran
0082900000,tehran
0083600000,tehran
0084300000,tehran
0085000000,tehran
0086800000,tehran
0087500000,tehran
0088200000,tehran
0081100000,tehran
0081210000,tehran
0081320000,tehran
0081430000,tehran
0081540000,tehran
0081650000,tehran
0081760000,tehran
0081870000,tehran
0081980000,tehran
0082020000,tehran
0082130000,tehran
0082240000,tehran
0082350000,tehran
0082460000,tehran
0082570000,tehran
0082680000,tehran
0082790000,tehran
0082900000,tehran
0083050000,tehran
0083160000,tehran
0083270000,tehran
0083380000,tehran
0083490000,tehran
0083600000,tehran
0083710000,tehran
0083820000,tehran
0083930000,tehran
0084080000,tehran
0084190000,tehran
0084300000,tehran
0084410000,tehran
0084520000,tehran
0084630000,tehran
0084740000,tehran
0084850000,tehran
0084960000,tehran
0085000000,tehran
0085110000,tehran
0085220000,tehran
0085330000,tehran
0085440000,tehran
0085550000,tehran
0085660000,tehran
0085770000,tehran
0085880000,tehran
0085990000,tehran
0086030000,tehran
0086140000,tehran
0086250000,tehran
0086360000,tehran
0086470000,tehran
0086580000,tehran
0086690000,tehran
0086800000,tehran
0086910000,tehran
0087060000,tehran
0087170000,tehran
0087280000,tehran
0087390000,tehran
0087500000,tehran
0087610000,tehran
0087720000,tehran
0087830000,tehran
0087940000,tehran
0088090000,tehran
0088200000,tehran
0088310000,tehran
0088420000,tehran
0088530000,tehran
0088640000,tehran
0088750000,tehran
0088860000,tehran
0088970000,tehran
0089010000,tehran
0089120000,tehran
0089230000,tehran
0089340000,tehran
0089450000,tehran
0089560000,tehran
0089670000,tehran
0089780000,tehran
0089890000,tehran
0081007000,tehran
0081013000,tehran
0081036000,tehran
0081042000,tehran
0081059000,tehran
0081065000,tehran
0081071000,tehran
0081088000,tehran
0316000000,karaj
0311400000,karaj
0312100000,karaj
0313900000,karaj
0314600000,karaj
0315300000,karaj
0316000000,karaj
0317800000,karaj
0318500000,karaj
0319200000,karaj
0311070000,karaj
0311180000,karaj
0311290000,karaj
0311400000,karaj
0311510000,karaj
0311620000,karaj
0311730000,karaj
0311840000,karaj
0311950000,karaj
0312100000,karaj
0312210000,karaj
0312320000,karaj
0312430000,karaj
0312540000,karaj
0312650000,karaj
0312760000,karaj
0312870000,karaj
0312980000,karaj
0313020000,karaj
0313130000,karaj
0313240000,karaj
0313350000,karaj
0313460000,karaj
0313570000,karaj
0313680000,karaj
0313790000,karaj
0313900000,karaj
0314050000,karaj
0314160000,karaj
0314270000,karaj
0314380000,karaj
0314490000,karaj
0314600000,karaj
0314710000,karaj
0314820000,karaj
0314930000,karaj
0315080000,karaj
0315190000,karaj
0315300000,karaj
0315410000,karaj
0315520000,karaj
0315630000,karaj
0315740000,karaj
0315850000,karaj
0315960000,karaj
0316000000,karaj
0316110000,karaj
0316220000,karaj
0316330000,karaj
0316440000,karaj
0316550000,karaj
0316660000,karaj
0316770000,karaj
0316880000,karaj
0316990000,karaj
0317030000,karaj
0317140000,karaj
0317250000,karaj
0317360000,karaj
0317470000,karaj
0317580000,karaj
0317690000,karaj
0317800000,karaj
0317910000,karaj
0318060000,karaj
0318170000,karaj
0318280000,karaj
0318390000,karaj
0318500000,karaj
0318610000,karaj
0318720000,karaj
0318830000,karaj
0318940000,karaj
0319090000,karaj
0319200000,karaj
0319310000,karaj
0319420000,karaj
0319530000,karaj
0319640000,karaj
0319750000,karaj
0319860000,karaj
0319970000,karaj
0311006000,karaj
0311012000,karaj
0311029000,karaj
0311035000,karaj
0311041000,karaj
0311058000,karaj
0311064000,karaj
0328000000,karaj
0322700000,karaj
0323400000,karaj
0324100000,karaj
0325900000,karaj
0326600000,karaj
0327300000,karaj
0328000000,karaj
0329800000,karaj
0321010000,karaj
0321120000,karaj
0321230000,karaj
0321340000,karaj
0321450000,karaj
0321560000,karaj
0321670000,karaj
0321780000,karaj
0321890000,karaj
0322040000,karaj
0322150000,karaj
0322260000,karaj
0322370000,karaj
0322480000,karaj
0322590000,karaj
0322700000,karaj
0322810000,karaj
0322920000,karaj
0323070000,karaj
0323180000,karaj
0323290000,karaj
0323400000,karaj
0323510000,karaj
0323620000,karaj
0323730000,karaj
0323840000,karaj
0323950000,karaj
0324100000,karaj
0324210000,karaj
0324320000,karaj
0324430000,karaj
0324540000,karaj
0324650000,karaj
0324760000,karaj
0324870000,karaj
0324980000,karaj
0325020000,karaj
0325130000,karaj
0325240000,karaj
0325350000,karaj
0325460000,karaj
0325570000,karaj
0325680000,karaj
0325790000,karaj
0325900000,karaj
0326050000,karaj
0326160000,karaj
0326270000,karaj
0326380000,karaj
0326490000,karaj
0326600000,karaj
0326710000,karaj
0326820000,karaj
0326930000,karaj
0327080000,karaj
0327190000,karaj
0327300000,karaj
0327410000,karaj
0327520000,karaj
0327630000,karaj
0327740000,karaj
0327850000,karaj
0327960000,karaj
0328000000,karaj
0328110000,karaj
0328220000,karaj
0328330000,karaj
0328440000,karaj
0328550000,karaj
0328660000,karaj
0328770000,karaj
0328880000,karaj
0328990000,karaj
0329030000,karaj
0329140000,karaj
0329250000,karaj
0329360000,karaj
0329470000,karaj
0329580000,karaj
0329690000,karaj
0329800000,karaj
0329910000,karaj
0321004000,karaj
0321010000,karaj
0321027000,karaj
0321033000,karaj
0321056000,karaj
0321062000,karaj
0321079000,karaj
0321085000,karaj
